summary_group,item_name,hf_name,hf_type,fy,num,den,avg_score,section,index
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?", Byimana CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,1
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?", Gitwe DH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,2
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?", Nyagatare DH,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,3
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Agahabwa CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,4
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Agahabwa CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,5
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",BUSHENGE PH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,6
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",BUTARO DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,7
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Bigogwe CS,Health Center,2022-2023,25.0,30.0,83.33333333333334,diagnosis,8
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Birambo CS,Health Center,2022-2023,30.0,30.0,100.0,diagnosis,9
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Birembo CS,Health Center,2022-2023,30.0,30.0,100.0,diagnosis,10
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Bugarama (rusizi) CS,Health Center,2022-2023,30.0,30.0,100.0,diagnosis,11
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Buramba CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,12
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Bushara CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,13
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Bushenge CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,14
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Bushenge PH,"Hospital (DH,PH,RH)",2022-2023,30.0,30.0,100.0,diagnosis,15
