hf_tb_type,section,hf_type,fy,overall_score,hf_count
CDT,diagnosis,Health Center,2020-2021,80.50896471949103,28
CDT,diagnosis,Health Center,2021-2022,43.47667638483965,28
CDT,diagnosis,Health Center,2022-2023,43.556280587275694,12
CDT,diagnosis,Health Center,2023-2024,54.7244094488189,29
CDT,diagnosis,"Hospital (DH,PH,RH)",2020-2021,83.33333333333334,21
CDT,diagnosis,"Hospital (DH,PH,RH)",2021-2022,80.07774538386784,21
CDT,diagnosis,"Hospital (DH,PH,RH)",2022-2023,79.71938775510205,8
CDT,diagnosis,"Hospital (DH,PH,RH)",2023-2024,82.92872402408234,42
CDT,screening,Health Center,2020-2021,85.3625170998632,28
CDT,screening,Health Center,2021-2022,68.16160118606375,28
CDT,screening,Health Center,2022-2023,41.63346613545817,12
CDT,screening,Health Center,2023-2024,41.68,29
CDT,screening,"Hospital (DH,PH,RH)",2020-2021,60.66176470588235,17
CDT,screening,"Hospital (DH,PH,RH)",2021-2022,20.16509433962264,21
CDT,screening,"Hospital (DH,PH,RH)",2022-2023,8.459214501510575,8
CDT,screening,"Hospital (DH,PH,RH)",2023-2024,22.75740167918692,42
CDT,treatment,Health Center,2020-2021,81.56209987195902,28
CDT,treatment,Health Center,2021-2022,71.67487684729063,28
CDT,treatment,Health Center,2022-2023,71.01063829787235,12
CDT,treatment,Health Center,2023-2024,70.52631578947368,29
CDT,treatment,"Hospital (DH,PH,RH)",2020-2021,82.95652173913044,21
CDT,treatment,"Hospital (DH,PH,RH)",2021-2022,83.98058252427184,21
CDT,treatment,"Hospital (DH,PH,RH)",2022-2023,62.71186440677966,8
CDT,treatment,"Hospital (DH,PH,RH)",2023-2024,80.97686375321337,42
CT,diagnosis,Health Center,2020-2021,40.702341137123746,46
CT,diagnosis,Health Center,2021-2022,32.47884519661523,41
CT,diagnosis,Health Center,2022-2023,31.095596133190117,19
CT,diagnosis,Health Center,2023-2024,27.361722956436612,41
CT,screening,Health Center,2020-2021,68.53637160385627,45
CT,screening,Health Center,2021-2022,68.99760701940974,41
CT,screening,Health Center,2022-2023,38.04627249357326,19
CT,screening,Health Center,2023-2024,40.85199344620426,41
CT,treatment,Health Center,2020-2021,76.10169491525424,46
CT,treatment,Health Center,2021-2022,68.21963394342761,41
CT,treatment,Health Center,2022-2023,49.46619217081851,19
CT,treatment,Health Center,2023-2024,64.21136909527621,41
