genexpert_or_microscopy,hf_tb_type,section,hf_type,fy,overall_score,hf_count
no,CDT,diagnosis,health center,2020-2021,80.0588668138337,23
no,CDT,diagnosis,health center,2021-2022,40.00850340136054,24
no,CDT,diagnosis,health center,2022-2023,41.94174757281554,10
no,CDT,diagnosis,health center,2023-2024,48.507462686567166,21
no,CDT,screening,health center,2020-2021,82.19895287958116,23
no,CDT,screening,health center,2021-2022,68.91356066613798,24
no,CDT,screening,health center,2022-2023,40.28436018957346,10
no,CDT,screening,health center,2023-2024,40.06734006734007,21
no,CDT,treatment,health center,2020-2021,82.0919175911252,23
no,CDT,treatment,health center,2021-2022,71.55172413793103,24
no,CDT,treatment,health center,2022-2023,67.5,10
no,CDT,treatment,health center,2023-2024,72.05169628432955,21
no,CT,diagnosis,health center,2020-2021,40.702341137123746,46
no,CT,diagnosis,health center,2021-2022,32.32142857142858,40
no,CT,diagnosis,health center,2022-2023,31.57596371882086,18
no,CT,diagnosis,health center,2023-2024,27.361722956436612,41
no,CT,screening,health center,2020-2021,68.53637160385627,45
no,CT,screening,health center,2021-2022,69.20182746573502,40
no,CT,screening,health center,2022-2023,37.39837398373984,18
no,CT,screening,health center,2023-2024,40.85199344620426,41
no,CT,treatment,health center,2020-2021,76.10169491525424,46
no,CT,treatment,health center,2021-2022,67.83276450511946,40
no,CT,treatment,health center,2022-2023,48.1203007518797,18
no,CT,treatment,health center,2023-2024,64.21136909527621,41
yes,CDT,diagnosis,health center,2020-2021,82.16216216216216,5
yes,CDT,diagnosis,health center,2021-2022,64.28571428571429,4
yes,CDT,diagnosis,health center,2022-2023,52.04081632653062,2
yes,CDT,diagnosis,health center,2023-2024,70.66326530612244,8
yes,CDT,diagnosis,"hospital (dh,ph,rh)",2020-2021,83.33333333333334,21
yes,CDT,diagnosis,"hospital (dh,ph,rh)",2021-2022,80.07774538386784,21
yes,CDT,diagnosis,"hospital (dh,ph,rh)",2022-2023,79.71938775510205,8
yes,CDT,diagnosis,"hospital (dh,ph,rh)",2023-2024,82.92872402408234,42
yes,CDT,screening,health center,2020-2021,96.83544303797468,5
yes,CDT,screening,health center,2021-2022,57.38636363636363,4
yes,CDT,screening,health center,2022-2023,48.75,2
yes,CDT,screening,health center,2023-2024,45.682451253481894,8
yes,CDT,screening,"hospital (dh,ph,rh)",2020-2021,60.66176470588235,17
yes,CDT,screening,"hospital (dh,ph,rh)",2021-2022,20.16509433962264,21
yes,CDT,screening,"hospital (dh,ph,rh)",2022-2023,8.459214501510575,8
yes,CDT,screening,"hospital (dh,ph,rh)",2023-2024,22.75740167918692,42
yes,CDT,treatment,health center,2020-2021,79.33333333333333,5
yes,CDT,treatment,health center,2021-2022,72.41379310344827,4
yes,CDT,treatment,health center,2022-2023,91.07142857142857,2
yes,CDT,treatment,health center,2023-2024,66.52542372881356,8
yes,CDT,treatment,"hospital (dh,ph,rh)",2020-2021,82.95652173913044,21
yes,CDT,treatment,"hospital (dh,ph,rh)",2021-2022,83.98058252427184,21
yes,CDT,treatment,"hospital (dh,ph,rh)",2022-2023,62.71186440677966,8
yes,CDT,treatment,"hospital (dh,ph,rh)",2023-2024,80.97686375321337,42
yes,CT,diagnosis,health center,2021-2022,38.775510204081634,1
yes,CT,diagnosis,health center,2022-2023,22.448979591836736,1
yes,CT,screening,health center,2021-2022,50.0,1
yes,CT,screening,health center,2022-2023,50.0,1
yes,CT,treatment,health center,2021-2022,83.33333333333334,1
yes,CT,treatment,health center,2022-2023,73.33333333333333,1
