summary_group,hf_tb_type,section,hf_type,fy,overall_score,hf_count
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,Health Center,2020-2021,81.33552271483306,29
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,Health Center,2021-2022,44.6164672765658,29
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,Health Center,2022-2023,43.556280587275694,12
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,Health Center,2023-2024,53.561549100968186,30
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,"Hospital (DH,PH,RH)",2020-2021,83.33333333333334,21
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,"Hospital (DH,PH,RH)",2021-2022,80.25510204081633,20
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,"Hospital (DH,PH,RH)",2022-2023,79.71938775510205,8
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CDT,diagnosis,"Hospital (DH,PH,RH)",2023-2024,84.44358127791804,53
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CT,diagnosis,Health Center,2020-2021,39.45698166431594,43
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CT,diagnosis,Health Center,2021-2022,32.70408163265306,40
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CT,diagnosis,Health Center,2022-2023,31.095596133190117,19
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CT,diagnosis,Health Center,2023-2024,27.361722956436612,41
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CT,diagnosis,"Hospital (DH,PH,RH)",2020-2021,63.63636363636363,3
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",CT,diagnosis,"Hospital (DH,PH,RH)",2021-2022,23.46938775510204,1
"Are TB patients early initiated on TB treatment and on ART (if indicated), and their bacteriological control performed according to guidelines?[Questions 16, 17, 18 and 19]",CDT,treatment,Health Center,2020-2021,93.03201506591337,29
