summary_group,item_name,hf_type,num,den,avg_score
"Active drug safety monitoring and management (aDSM) [Questions 59, 60 and 61]","Pour les cas TB qui ont eu des effets secondaires aux medicaments anti-TB, Verifier si la conduite est tenue selon les normes.",Health Center,44.0,85.0,51.76470588235295
"Active drug safety monitoring and management (aDSM) [Questions 59, 60 and 61]","Pour les cas TB qui ont eu des effets secondaires aux medicaments anti-TB, Verifier si la conduite est tenue selon les normes.","Hospital (DH,PH,RH)",42.0,51.0,82.35294117647058
"Active drug safety monitoring and management (aDSM) [Questions 59, 60 and 61]","Sur les 5 derniers cas TB, verifier si chaque mois le suivi clinique des effets secondres est correctement et completement rempli sur la fiche de traitement.",Health Center,857.0,1220.0,70.24590163934427
"Active drug safety monitoring and management (aDSM) [Questions 59, 60 and 61]","Sur les 5 derniers cas TB, verifier si chaque mois le suivi clinique des effets secondres est correctement et completement rempli sur la fiche de traitement.","Hospital (DH,PH,RH)",418.0,525.0,79.61904761904762
"Active drug safety monitoring and management (aDSM) [Questions 59, 60 and 61]","Sur les 5 derniers cas TB, verifier si les examens paracliniques ont etes demandes au debut de traitment TB (NFS, SGPT, SGOT, ?GT, Uree, Creatinine, Glycemie) ",Health Center,388.0,1215.0,31.934156378600825
"Active drug safety monitoring and management (aDSM) [Questions 59, 60 and 61]","Sur les 5 derniers cas TB, verifier si les examens paracliniques ont etes demandes au debut de traitment TB (NFS, SGPT, SGOT, ?GT, Uree, Creatinine, Glycemie) ","Hospital (DH,PH,RH)",408.0,530.0,76.9811320754717
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?",Health Center,4479.0,7290.0,61.440329218106996
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Durant le mois passé, combien de jours le microscope optique ou LED était opérationnel ?","Hospital (DH,PH,RH)",3005.0,3150.0,95.3968253968254
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Health Center,664.0,5880.0,11.292517006802722
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?","Hospital (DH,PH,RH)",2522.0,3030.0,83.23432343234323
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, sur les 10 derniers patients présumés TB éligibles pour Xpert et dont leurs échantillons ont été examinés par Xpert, combien ont  les résultats Xpert disponibles endéans 3 jours de réception de l'échantillon?  ",Health Center,362.0,1900.0,19.05263157894737
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, sur les 10 derniers patients présumés TB éligibles pour Xpert et dont leurs échantillons ont été examinés par Xpert, combien ont  les résultats Xpert disponibles endéans 3 jours de réception de l'échantillon?  ","Hospital (DH,PH,RH)",820.0,1010.0,81.1881188118812
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Sur les 10 derniers cas presumes TB, combien ont beneficies des examens d'investigations (un ou plusieurs examens selon le cas).",Health Center,1698.0,2440.0,69.59016393442623
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Sur les 10 derniers cas presumes TB, combien ont beneficies des examens d'investigations (un ou plusieurs examens selon le cas).","Hospital (DH,PH,RH)",798.0,1050.0,76.0
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Sur les 10 derniers patients hospitalises ( 5 pediatrie,5Medecine interne), combien ont beneficie  du screening de la TB et prise en charge selon le protocole? ",Health Center,0.0,10.0,0.0
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Sur les 10 derniers patients hospitalises( 5 pediatrie,5Medecine interne), combien ont beneficie  du screening de la TB et prise en charge selon le protocole? ",Health Center,934.0,2180.0,42.84403669724771
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Sur les 10 derniers patients hospitalises( 5 pediatrie,5Medecine interne), combien ont beneficie  du screening de la TB et prise en charge selon le protocole? ","Hospital (DH,PH,RH)",692.0,1020.0,67.84313725490196
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Sur les échantillons reçus   il y a 3 jours, vérifier si les résultats sont mentionnés dans le registre de lab",Health Center,492.0,726.0,67.76859504132231
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Sur les échantillons reçus   il y a 3 jours, vérifier si les résultats sont mentionnés dans le registre de lab","Hospital (DH,PH,RH)",273.0,318.0,85.84905660377359
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",Vérifier  pour les 5 derniers cas éligibles à la Culture  et DST si les résultats sont disponibles avec bon de résultat du LNR disponible ,Health Center,306.0,1065.0,28.732394366197184
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]",Vérifier  pour les 5 derniers cas éligibles à la Culture  et DST si les résultats sont disponibles avec bon de résultat du LNR disponible ,"Hospital (DH,PH,RH)",147.0,475.0,30.94736842105263
"Are TB monitoring tools existing, update and well used; Supervisions and internal trainings conducted? [Questions11, 12, 38, 39, 40, 41 and 42]","Durant le trimestre passé, la FOSA a-t-il reçu au moins deux supervisions/mentorship par trimestre par le HD (pour le CS) ou au moins une fois le semestre  par le niveau central  (pour le HD) sur la gestion des malades TB ?",Health Center,187.0,246.0,76.01626016260163
